cards,strength,rating,%
AcKsKcJs,133,1,
AhAcKcQd,138.5,1,
AsAhKsJs,123.5,1,
AsKsKdQs,120,1,
AhAdQhJh,126.5,1,
AhAdKhJh,123.5,1,
AhAdKdQc,138.5,1,
AdAcKsQc,136.5,1,
AhAcKsQc,136.5,1,
AsAcQsJs,126.5,1,
AsAhKdQs,136.5,1,
AsAhKcQh,136.5,1,
AhKhKcQh,120,1,
AsKsKcQs,120,1,
AsAcKsJs,123.5,1,
AdKsKdQd,120,1,
AdKhKdQd,120,1,
AdAcKdJd,123.5,1,
AdAcQdJd,126.5,1,
AdAcKhQc,136.5,1,
AsAcKdQc,136.5,1,
AsAhKcQs,136.5,1,
AhAcKdQc,136.5,1,
AsAdKcQs,136.5,1,
AsAhQsJs,126.5,1,
AhAdKcQh,136.5,1,
AsAcKhQc,136.5,1,
AdAcKhQd,136.5,1,
AdAcKdQh,138.5,1,
AsAcKsQd,138.5,1,
AcKdKcQc,120,1,
AhAcKhQs,138.5,1,
AsAcKhQs,136.5,1,
AhAcKsQh,136.5,1,
AsAcKsQh,138.5,1,
AcKhKcQc,120,1,
AcKsKcQc,120,1,
AsAhKdQh,136.5,1,
AsAhQhJh,126.5,1,
AsKsKhJh,133,1,
AdAcQcJc,126.5,1,
AdKsKdJs,133,1,
AhAcKdQh,136.5,1,
AsAdKhQd,136.5,1,
AsAcKdQs,136.5,1,
AsKsKhQs,120,1,
AhAdKsQd,136.5,1,
AhKhKcJc,133,1,
AdKhKdJh,133,1,
AsAdKdQh,138.5,1,
AsAhKhQd,138.5,1,
AsAcQcJc,126.5,1,
AsAhKsQd,138.5,1,
AdAcKdQs,138.5,1,
AsAhKhJh,123.5,1,
AhAcQcJc,126.5,1,
AhKhKdQh,120,1,
AhAcKhQd,138.5,1,
AdAcKsQd,136.5,1,
AhAcQhJh,126.5,1,
AsAcKcJc,123.5,1,
AsKsKcJc,133,1,
AhAcKhJh,123.5,1,
AdKdKcJc,133,1,
AdAcKcJc,123.5,1,
AhAcKcJc,123.5,1,
AhAdKdQs,138.5,1,
AsAdKsJs,123.5,1,
AsAdQsJs,126.5,1,
AhKsKhJs,133,1,
AhKsKhQh,120,1,
AhQhJhTh,76,2,
AhKhJhTh,68,2,
AhQcJhTh,78,2,
AhKhQcTh,73,2,
AsQhJsTs,78,2,
AhKsJhTh,68,2,
AhQsJhTh,78,2,
AhKhQcJh,88,1,
AhKhJsTh,68,2,
AcQcJcTc,76,2,
AhQhJhTd,76,2,
AhKhJhTd,68,2,
AdKcQdJd,86,1,
AsKsQcJs,88,1,
AsKsQcTs,73,2,
AsQcJsTs,78,2,
AdKcQdTd,71,2,
AhKhQsTh,73,2,
AhKhQhTd,73,2,
AdKcJdTd,68,2,
AdQdJdTs,76,2,
AdKhQdJd,86,1,
AdQdJdTh,76,2,
AsKsJsTd,68,2,
AsQsJsTd,76,2,
AcKcJcTc,68,2,
AsKsQsTd,73,2,
AdKdQhJd,88,1,
AdKdJdTs,68,2,
AdKdQsJd,88,1,
AdKdJdTh,68,2,
AhKsQhTh,71,2,
AsKsQsJd,88,1,
AdKdQdTh,73,2,
AdKdQdJh,88,1,
AdKdQdTs,73,2,
AcQcJsTc,76,2,
AdKdQdJs,88,1,
AhKhQhJd,88,1,
AcKsQcTc,71,2,
AhQhJhTs,76,2,
AhKsQhJh,86,1,
AhKhJdTh,68,2,
AhQhJdTh,76,2,
AhKhQhJh,88,1,
AsKsQsTh,73,2,
AsKsJsTh,68,2,
AsQsJsTh,76,2,
AsKcJsTs,68,2,
AsKcQsTs,71,2,
AdKdQdTc,73,2,
AsKcQsJs,86,1,
AhKcJhTh,68,2,
AcKdJcTc,68,2,
AsKdQsJs,86,1,
AcQdJcTc,78,2,
AdQdJdTc,76,2,
AdKdJdTc,68,2,
AsKdJsTs,68,2,
AsKdQsTs,71,2,
AcKhJcTc,68,2,
AcQsJcTc,78,2,
AsKsQhJs,88,1,
AcQhJcTc,78,2,
AhKcQhJh,86,1,
AhKcQhTh,71,2,
AsKsQhTs,73,2,
AcKsJcTc,68,2,
AdKdQcJd,88,1,
AdKdQcTd,73,2,
AdQcJdTd,78,2,
AdKdQdJd,88,1,
AdKsQdJd,86,1,
AhQhJsTh,76,2,
AhKhQhTh,73,2,
AsKsQsTs,73,2,
AcKcQcTh,73,2,
AsKsJcTs,68,2,
AsKsQsJc,88,1,
AcKcQcTd,73,2,
AcKcQcTs,73,2,
AcQcJdTc,76,2,
AcKdQcTc,71,2,
AcQcJhTc,76,2,
AdKdQhTd,73,2,
AcKhQcTc,71,2,
AhKdQhJh,86,1,
AhKhJhTs,68,2,
AcKcQcTc,73,2,
AdKdJsTd,68,2,
AhQhJhTc,76,2,
AsQsJdTs,76,2,
AdKdQsTd,73,2,
AhKhQhTc,73,2,
AhKhJhTc,68,2,
AsKsJdTs,68,2,
AdKdQdJc,88,1,
AdKdJdTd,68,2,
AdQhJdTd,78,2,
AdKhJdTd,68,2,
AdQsJdTd,78,2,
AdKsJdTd,68,2,
AhQhJcTh,76,2,
AdKdQdTd,73,2,
AsQsJcTs,76,2,
AhKhQsJh,88,1,
AcQcJcTh,76,2,
AdQdJsTd,76,2,
AdKhQdTd,71,2,
AdQdJhTd,76,2,
AhKhQhJc,88,1,
AhKhJcTh,68,2,
AdKsQdTd,71,2,
AsQsJsTc,76,2,
AsKsJsTc,68,2,
AsKsQsTc,73,2,
AdKdJhTd,68,2,
AcKcQcJc,88,1,
AcKhQcJc,86,1,
AcQcJcTs,76,2,
AcKcQcJh,88,1,
AcKcQcJs,88,1,
AcKcQcJd,88,1,
AcKcJcTd,68,2,
AdQdJdTd,76,2,
AdKdJcTd,68,2,
AdQdJcTd,76,2,
AhKdJhTh,68,2,
AsKsJhTs,68,2,
AcKsQcJc,86,1,
AhKhQdJh,88,1,
AhKhQdTh,73,2,
AhQdJhTh,78,2,
AsKhQsJs,86,1,
AsKhQsTs,71,2,
AsKhJsTs,68,2,
AcKcJdTc,68,2,
AhKdQhTh,71,2,
AcQcJcTd,76,2,
AcKdQcJc,86,1,
AcKcQdJc,88,1,
AcKcJcTh,68,2,
AcKcJcTs,68,2,
AsQsJhTs,76,2,
AcKcJsTc,68,2,
AcKcQsTc,73,2,
AsKsQsJh,88,1,
AhKhQhTs,73,2,
AhKhQhJs,88,1,
AcKcQhJc,88,1,
AcKcJhTc,68,2,
AcKcQhTc,73,2,
AsQdJsTs,78,2,
AsKsQdTs,73,2,
AsKsQdJs,88,1,
AcKcQdTc,73,2,
AsKsJsTs,68,2,
AcKcQsJc,88,1,
AsKsQsJs,88,1,
AsQsJsTs,76,2,
AsAhKh6s,116,1,
AdAcQd6c,109,1,
AsAhKs4h,116,1,
AhAdKsQs,130.5,1,
AsAdJsTs,128.5,1,
AsAdQsTs,116.5,1,
AsAdKsTs,123.5,1,
AsAhTs2h,100.5,1,
AsAhJs2h,103,1,
AsAcQs4c,109,1,
AsAcKs4c,116,1,
AdAcTd5c,100.5,1,
AsAcKc5s,116,1,
AsAcKc4s,116,1,
AsAcKc3s,116,1,
AsAcKc2s,116,1,
AhAcKsKc,190.5,1,
AhAcKcJs,123.5,1,
AsAcKhKc,190.5,1,
AcKhKcQs,120,1,
